Rank,Name,Current club,Stints,Games,Career Elo ⌀,Total Elo +/-,Avg Elo +/-,Coach Rating
456,Jean-Michel Cavalli,Prishtine,6,257,1495,-52,-9,1465
457,Jonas De Roeck,Antwerp,4,100,1429,+55,+14,1464
458,Jorge Costa,none (since 2021-08-30),10,172,1459,+8,+1,1464
459,Cristiano Bergodi,none (since 2024-04-16),15,374,1403,+115,+8,1464
460,Cristóbal Parralo,Ferrol,5,118,1499,-59,-12,1464
461,Damir Čanadi,Velež Mostar,9,261,1415,+85,+9,1462
462,Gerhard Kleppinger,none (since 2023-06-17),4,100,1512,-81,-20,1462
463,Vladimir Vermezović,none (since 2024-02-20),4,125,1514,-85,-21,1461
464,Maciej Skorża,none (since 2022-06-30),7,333,1458,+5,+1,1461
465,Glen Riddersholm,none (since 2023-12-31),4,333,1395,+104,+26,1460
466,Craig Levein,St Johnstone,5,443,1393,+110,+22,1459
467,Luboš Kozel,Jablonec,5,295,1397,+104,+21,1459
468,Vladimir Weiss,Slovan Bratislava,5,108,1377,+137,+27,1459
469,Diego López,none (since 2020-12-07),6,134,1525,-113,-19,1459
470,Flemming Pedersen,none (since 2023-01-06),1,127,1425,+34,+34,1459
471,Guillermo Abascal,Granada,7,103,1484,-44,-6,1459
472,Jacek Zieliński,Korona,16,506,1372,+163,+10,1459
473,Marko Nikolić,ЦСКА,9,434,1354,+188,+21,1459
474,Roberto Stellone,none (since 2023-04-10),7,160,1435,+40,+6,1458
475,Glen De Boeck,none (since 2023-12-05),6,190,1422,+61,+10,1458
476,John van 't Schip,none (since 2024-06-10),4,122,1478,-32,-8,1458
477,Kemal Özdeş,none (since 2023-11-27),6,155,1446,+18,+3,1456
478,Goran Tomić,none (since 2022-05-28),4,200,1401,+89,+22,1456
479,Alex Neil,none (since 2023-12-09),5,361,1474,-31,-6,1455
480,Zoran Zekić,FK Sarajevo,8,270,1334,+214,+27,1454
481,Dag-Eilev Fagermo,none (since 2023-06-12),3,476,1379,+111,+37,1452
482,Horst Hrubesch,none (since 2021-06-30),7,133,1503,-88,-13,1452
483,Nikos Nioplias,none (since 2022-10-21),3,102,1429,+35,+12,1452
484,Maurizio Jacobacci,none (since 2021-12-14),5,116,1411,+68,+14,1451
485,Hikmet Karaman,none (since 2024-07-07),16,532,1419,+62,+4,1451
486,Kenan Kocak,none (since 2021-06-30),2,132,1466,-19,-10,1451
487,Jimmy Thelin,Aberdeen,3,264,1352,+149,+50,1451
488,Ömer Erdoğan,none (since 2023-10-29),3,113,1409,+63,+21,1451
489,Martí Cifuentes,QPR,4,180,1356,+151,+38,1451
490,Czesław Michniewicz,none (since 2021-10-24),10,300,1363,+157,+16,1449
491,Marinos Ouzounidis,none (since 2021-07-22),11,286,1436,+24,+2,1449
492,Joan Carrillo,none (since 2023-03-06),7,140,1401,+84,+12,1449
493,Jeff Saibene,none (since 2022-06-30),6,273,1419,+50,+8,1448
494,Nigel Adkins,Tranmere,6,316,1419,+49,+8,1448
495,Igor Jovićević,none (since 2023-06-30),4,107,1451,-9,-2,1445
496,Bjarte Aarsheim,Viking,3,119,1414,+47,+16,1445
497,Attilio Tesser,none (since 2023-06-30),12,420,1441,+6,+1,1444
498,Leonid Kuchuk,none (since 2023-03-19),7,220,1355,+157,+22,1444
499,Abel Braga,none (since 2021-08-31),5,122,1450,-10,-2,1444
500,Geir Bakke,Vålerenga,3,258,1348,+142,+47,1443
