"","League","Team","Season","Gen..Role","DAVIES_TOTAL","DAVIES_weighted","League_DAVIES","Raw_League_DAVIES","SD_League","Raw_SD_League","Z"
"2615","Eredivisie","Ajax","2022-2023","Deep Midfielder",-2.74,-2.74,0.483872127879835,0.885294117647059,1.95795058347114,3.57421690312553,-1.64655438962326
"2616","Eredivisie","Ajax","2022-2023","Dribbler",20.67,6.87033586985043,1.42137431465348,2.60111111111111,2.18284474378213,7.09114766193729,2.49626620066241
"2617","Eredivisie","Ajax","2022-2023","Finisher",4.88,4.88,1.63929966194423,1.57888888888889,1.75256747424293,3.45252148076785,1.84911587467163
"2618","Eredivisie","Ajax","2022-2023","Midfielder",7.47,3.78513317191283,1.11697919521269,1.20294117647059,2.34262678135098,2.91798039041107,1.13895819766964
"2619","Eredivisie","Ajax","2022-2023","Wide Def",5.3,1.31539342445512,1.36526949468126,1.26222222222222,1.08456391061802,3.67969556853881,-0.045987211761198
"2620","Eredivisie","Ajax","2023-2024","Central Def",-2.91,0.993739445114596,0.990208459454057,0.681111111111111,1.3675589058328,3.44746264560045,0.00258196238968495
"2621","Eredivisie","Ajax","2023-2024","Creator",5.31,2.3364224137931,0.896808292389354,0.974666666666667,1.40132875700515,2.28427502305488,1.0273207583925
"2622","Eredivisie","Ajax","2023-2024","Deep Midfielder",-1.36,0.0647895040369089,0.743660659010934,0.595294117647059,1.55949378476476,2.67426652945966,-0.435315075703511
"2623","Eredivisie","Ajax","2023-2024","Dribbler",4.94,1.88982323232323,0.941052813701439,0.705,1.17635810428189,4.26600412288486,0.806531969447324
"2624","Eredivisie","Ajax","2023-2024","Finisher",7.89,5.47374586852736,1.49617516271192,1.34444444444444,2.26444486768208,4.67568708033404,1.75653236807966
"2625","Eredivisie","Ajax","2023-2024","Wide Def",-0.46,0.127042437431991,0.774423681334841,0.710555555555556,1.11767451765745,2.88642965335912,-0.579221619241801
"2626","Eredivisie","Almere City","2023-2024","Central Def",-1.71,-0.638375404530744,0.990208459454057,0.681111111111111,1.3675589058328,3.44746264560045,-1.19086926130838
"2627","Eredivisie","Almere City","2023-2024","Creator",-0.96,-0.439353416605437,0.896808292389354,0.974666666666667,1.40132875700515,2.28427502305488,-0.953496245841958
"2628","Eredivisie","Almere City","2023-2024","Deep Midfielder",1.68,1.68,0.743660659010934,0.595294117647059,1.55949378476476,2.67426652945966,0.600412358251436
"2629","Eredivisie","Almere City","2023-2024","Dribbler",0.35,0.159718011984491,0.941052813701439,0.705,1.17635810428189,4.26600412288486,-0.664198086342012
"2630","Eredivisie","Almere City","2023-2024","Finisher",-1.28,0.325816890292028,1.49617516271192,1.34444444444444,2.26444486768208,4.67568708033404,-0.516841142446489
"2631","Eredivisie","Almere City","2023-2024","Midfielder",1.45,0.862481794348966,0.465437196446878,0.241875,1.01638196288145,1.52309867813393,0.390645064948285
"2632","Eredivisie","Almere City","2023-2024","Wide Def",-3.18,-0.555025783419278,0.774423681334841,0.710555555555556,1.11767451765745,2.88642965335912,-1.18947819222051
"2633","Eredivisie","Cambuur","2021-2022","Central Def",-5.55111512312578e-17,0.330964925716036,1.04802638763472,1.26611111111111,1.39325903148158,4.38598588942352,-0.514664858232544
"2634","Eredivisie","Cambuur","2021-2022","Creator",2.34,2.34,1.16699589108178,1.07117647058824,1.66491113263373,2.68661469686514,0.704544576540034
"2635","Eredivisie","Cambuur","2021-2022","Deep Midfielder",-2.67,-0.447973971157228,0.398917247045789,-0.31375,1.62768366922632,2.28456815758836,-0.520304549474018
"2636","Eredivisie","Cambuur","2021-2022","Dribbler",-4.63,0.482165699836383,1.2345160841526,1.74705882352941,2.30160930787128,5.97831577945022,-0.326880145011252
"2637","Eredivisie","Cambuur","2021-2022","Finisher",-0.28,-0.127263982899893,1.8341620974316,1.88888888888889,2.14804804852968,4.07769815241666,-0.913120207750503
"2638","Eredivisie","Cambuur","2021-2022","Midfielder",0.3,0.423330029732408,0.534740943702465,0.344117647058824,1.81652416626949,3.72146318472911,-0.0613319195190537
"2639","Eredivisie","Cambuur","2021-2022","Wide Def",-1.98,0.274542700246166,0.58325485249355,-0.256111111111111,1.42804121579335,4.84291980340602,-0.21617874108478
"2640","Eredivisie","Cambuur","2022-2023","Central Def",-1.4,-0.0271423958669681,0.957334019131449,-0.0416666666666667,1.26421090417545,4.35913543775665,-0.778727988935135
"2641","Eredivisie","Cambuur","2022-2023","Creator",-6.78,-0.922784440344403,0.645929350323544,-0.249411764705882,1.41279781750858,3.05220918063506,-1.11035972113428
"2642","Eredivisie","Cambuur","2022-2023","Dribbler",-7.39,-1.19866972477064,1.42137431465348,2.60111111111111,2.18284474378213,7.09114766193729,-1.20028877311928
"2643","Eredivisie","Cambuur","2022-2023","Finisher",-4.02,-0.780602297423161,1.63929966194423,1.57888888888889,1.75256747424293,3.45252148076785,-1.38077534527607
"2644","Eredivisie","Cambuur","2022-2023","Midfielder",1.93,0.930098566308244,1.11697919521269,1.20294117647059,2.34262678135098,2.91798039041107,-0.0797739658711966
"2645","Eredivisie","Cambuur","2022-2023","Wide Def",1.46,0.570810484566305,1.36526949468126,1.26222222222222,1.08456391061802,3.67969556853881,-0.732514702303016
"2646","Eredivisie","Emmen","2019-2020","Central Def",-4.21,-0.326004362482649,0.807158967595894,0.221111111111111,0.957134293225606,3.55293563606026,-1.1839125795605
"2647","Eredivisie","Emmen","2019-2020","Creator",2.86,2.86,1.56996913579664,1.57944444444444,2.01724214215492,3.14022567982963,0.639502237854938
"2648","Eredivisie","Emmen","2019-2020","Deep Midfielder",-1.56,0.061520123045373,0.423440132425316,0.3,1.60846314980816,1.90088137452078,-0.22500982345981
"2649","Eredivisie","Emmen","2019-2020","Dribbler",-4.58,-0.536329284750337,0.802201312600038,0.395555555555555,1.71046153890458,3.33417459972298,-0.782555215013838
"2650","Eredivisie","Emmen","2019-2020","Finisher",3.13,1.68577219651906,1.52315732153528,1.655,1.71800591482469,3.1540417580883,0.0946532684087844
"2651","Eredivisie","Emmen","2019-2020","Midfielder",-2.9,-1.34908163265306,0.767141419387978,0.621764705882353,1.38288779320324,2.33645360347182,-1.53029266903799
"2652","Eredivisie","Emmen","2019-2020","Wide Def",3.31,2.14718434949592,1.02091525656285,1.17444444444444,0.989368028829235,2.58232959627365,1.1383722337034
"2653","Eredivisie","Emmen","2020-2021","Central Def",1.57,1.33255671367259,0.635110759600049,0.292222222222222,1.04692764678806,4.91127700604083,0.66618352873982
"2654","Eredivisie","Emmen","2020-2021","Creator",1.51,1.51,0.913416339765245,0.741666666666667,2.327026385175,4.03468236230634,0.256371678480083
"2655","Eredivisie","Emmen","2020-2021","Deep Midfielder",-3.22,-0.990151038388924,0.811121471301034,0.375882352941177,1.5152238855051,3.16276789146692,-1.18878307484541
"2656","Eredivisie","Emmen","2020-2021","Dribbler",-1.35,-0.13960372157133,1.40467431030696,2.61176470588235,2.48422417594933,6.18262912854851,-0.621633927738486
"2657","Eredivisie","Emmen","2020-2021","Finisher",-2.68,0.699586341463415,1.84482048177617,2.05944444444444,1.94182855008826,5.00256695545306,-0.589770986867353
"2658","Eredivisie","Emmen","2020-2021","Midfielder",-2.33,-0.478134964775677,1.2639736592434,1.925625,2.18055932220702,4.71217284452371,-0.798927415676006
"2659","Eredivisie","Emmen","2020-2021","Wide Def",2.64,1.42914414414414,0.764955192823394,-0.055,0.955111501109132,3.11065011173662,0.695404620873536
"2660","Eredivisie","Emmen","2022-2023","Central Def",0.28,1.35083732057416,0.957334019131449,-0.0416666666666667,1.26421090417545,4.35913543775665,0.311263967224967
"2661","Eredivisie","Emmen","2022-2023","Creator",-0.21,0.364042140954226,0.645929350323544,-0.249411764705882,1.41279781750858,3.05220918063506,-0.199524097415733
"2662","Eredivisie","Emmen","2022-2023","Deep Midfielder",1.43,0.827316751045565,0.483872127879835,0.885294117647059,1.95795058347114,3.57421690312553,0.175410261150134
"2663","Eredivisie","Emmen","2022-2023","Dribbler",2.26,1.66761290322581,1.42137431465348,2.60111111111111,2.18284474378213,7.09114766193729,0.112806276888788
"2664","Eredivisie","Emmen","2022-2023","Finisher",0.94,0.705079905685093,1.63929966194423,1.57888888888889,1.75256747424293,3.45252148076785,-0.533057796626462
"2665","Eredivisie","Emmen","2022-2023","Midfielder",-0.3,-0.3,1.11697919521269,1.20294117647059,2.34262678135098,2.91798039041107,-0.604867666711949
"2666","Eredivisie","Emmen","2022-2023","Wide Def",-3.96,-0.267901988413966,1.36526949468126,1.26222222222222,1.08456391061802,3.67969556853881,-1.50583240610006
"2667","Eredivisie","Excelsior","2022-2023","Central Def",-6.96,0.391797668858338,0.957334019131449,-0.0416666666666667,1.26421090417545,4.35913543775665,-0.447343357350622
"2668","Eredivisie","Excelsior","2022-2023","Creator",1.85,1.82522257551669,0.645929350323544,-0.249411764705882,1.41279781750858,3.05220918063506,0.834721862235595
"2669","Eredivisie","Excelsior","2022-2023","Deep Midfielder",-1.61,-0.470469897209985,0.483872127879835,0.885294117647059,1.95795058347114,3.57421690312553,-0.487418851704581
"2670","Eredivisie","Excelsior","2022-2023","Dribbler",3.3,2.02637650760357,1.42137431465348,2.60111111111111,2.18284474378213,7.09114766193729,0.277162264825952
"2671","Eredivisie","Excelsior","2022-2023","Finisher",-4.83,-1.5184686940966,1.63929966194423,1.57888888888889,1.75256747424293,3.45252148076785,-1.8017955955761
"2672","Eredivisie","Excelsior","2022-2023","Midfielder",-2.57,-0.25132138284251,1.11697919521269,1.20294117647059,2.34262678135098,2.91798039041107,-0.584088165023926
